会社名,代表者,HP,電話番号,住所,会社メール,その他連絡方法,営業担当名,初回コンタクト日,属性,確度,状況,備考,掲載サイト,2回目以降最新コンタクト日
株式会社アルファシステムズ,石川 有子,https://www.alpha.co.jp/corp/about/,044-733-4111,〒211-0053 川崎市中原区上小田中6丁目6番1号,,https://www.alpha.co.jp/inquiry/,経岩宗高,2023/04/13,開発（プロダクト）,E：未接触,未契約,協業募集,,2024/04/15
株式会社ソフトウェア・カラーズ・ファクトリー,小池　俊之,https://www.sw-colors.com/partner.html,03-3956-6400,東京都豊島区高松2-12-9,info@sw-colors.com,https://www.sw-colors.com/ask.html,経岩宗高,2023/04/13,開発,E：未接触,未契約,,協業募集,2024/04/15
VERISERVE,新堀 義之,https://www.veriserve.co.jp/partner/,,〒101-0061 東京都千代田区神田三崎町3-1-16 神保町北東急ビル9階,,https://www.veriserve.co.jp/contact/,経岩宗高,2023/04/13,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/04/16
NSC,,https://www.nationalsoftware.co.jp/partner/,03-6808-9821,〒113-0021 東京都文京区本駒込5丁目4番7号 駒込スパンクリートビル,,https://www.nationalsoftware.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGsmDlfWBkzwZzwjkPGjqvwgZMV,,
GALAXY,小守　孝英,https://galaxy.jp/partner/,03-3943-3300,〒112-0012 東京都文京区大塚5丁目3番13号,,https://galaxy.jp/contact/,経岩宗高,2023/04/13,開発,E：未接触,未契約,,協業募集,2024/04/16
株式会社無限,清水　宏太,https://www.mugen-corp.jp/partner/,03-3343-2250,        東京都新宿区西新宿2-7-1　新宿第一生命ビルディング14階,,https://go2.mugen-corp.jp/corporate_contact.html,経岩宗高,2023/04/13,開発（プロダクト）,D：対応しない,未契約,中国オフショアあり,,
株式会社 ソフトウェアサービス株式会社ラック,西本 逸郎,https://www.lac.co.jp/corporate/,03-6757-0190,〒102-0093 東京都千代田区平河町2丁目16番1号 平河町森タワー,,https://cp.lac.co.jp/lachp/other_contact?_fsi=aKvHoxxs,経岩宗高,2023/04/13,開発,E：未接触,未契約,,協業募集,2024/04/16
opsas,松井憲一,https://www.opsas.co.jp/partner/,03-3377-2281,〒164-0013 東京都中野区弥生町1-54-12 豊久ビル4F,business@opsas.co.jp,https://www.opsas.co.jp/contact/#contact,経岩宗高,2023/04/13,開発,E：未接触,未契約,,協業募集,2024/04/23
ADK富士システム,齋藤 和美,https://www.adf.co.jp/partner/,018-835-5404,〒010-0851 秋田県秋田市手形字山崎110番地3,,https://www.adf.co.jp/contact/,経岩宗高,2023/04/17,開発,E：未接触,未契約,,協業募集,2024/04/23
株式会社コンピュータームーブ,秋山学,https://www.move-net.jp/archives/15185,055-279-2731,〒400-0117 山梨県甲斐市西八幡4281-4,,https://www.move-net.jp/about-this-website/contact,経岩宗高,2023/04/17,開発,E：未接触,未契約,,協業募集,2024/04/23
SystemSience,,https://s-science.co.jp/partnership/,03-3341-5544,〒160-0022 東京都新宿区新宿2丁目19番1号,,https://s-science.co.jp/g-contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
株式会社ウイングシステム,長谷川 忠志,https://www.wingsystem.co.jp/partner.html,045-503-0803,〒230－0051 横浜市鶴見区鶴見中央4-36-1　ナイス第2ビル,,https://www.wingsystem.co.jp/contact.html,経岩宗高,2023/04/16,開発,E：未接触,未契約,,協業募集,2024/04/24
CSSクレセント,篠 三郎,https://www.css-crescent.co.jp/partner/,03-3662-2308,〒103-0001 東京都中央区日本橋小伝馬町14-7 アクサ小伝馬町ビル6F,,https://www.css-crescent.co.jp/contact/,経岩宗高,2023/04/17,開発,E：未接触,未契約,,協業募集,2024/04/24
SAUNS,栁澤 敏彦,https://saunz.co.jp/partner/,04-2936-7990,〒359-1127 埼玉県所沢市星の宮二丁目5番19号,partner@saunz.co.jp,https://saunz.co.jp/contact/,経岩宗高,2023/04/17,開発,E：未接触,未契約,,協業募集,2024/04/25
UseTech,松尾 元治,https://use-tech.co.jp/index.php?%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E4%BC%81%E6%A5%AD%E5%8B%9F%E9%9B%86,048-485-1527,〒351-0112 埼玉県和光市丸山台3丁目15-12 ヴェルシェ和光102,info@use-tech.co.jp,https://use-tech.co.jp/index.php?%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E4%BC%81%E6%A5%AD%E5%8B%9F%E9%9B%86,経岩宗高,2023/04/17,開発（エージェント）,E：未接触,未契約,,協業募集,2024/04/25
株式会社インサイト,岩室　宏,https://www.insite-corp.co.jp/partner/,06-6476-7678,大阪市淀川区西中島5-5-15　新大阪セントラルタワー 南館5F,,https://www.insite-corp.co.jp/inquiry/,経岩宗高,2023/04/17,開発（プロダクト）,E：未接触,未契約,SESもあり,協業募集,2024/04/26
WorksHumanInterigence,,https://www.works-hi.co.jp/contact,03-5575-5277,東京都港区赤坂1-12-32 アーク森ビル21階,,https://www.works-hi.co.jp/contact,経岩宗高,,開発,E：未接触,未契約,,,
NTT DATA,,https://www.nttdata.com/jp/ja/contact-us/,03-5546-8202,〒135-6033 東京都江東区豊洲3-3-3 豊洲センタービル,,https://www.nttdata.com/global/ja/contact-us/,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
NDR,,https://www.vorkers.com/company.php?m_id=a0C10000014exQb,03-3770-4511,〒150-0021 東京都渋谷区恵比寿西1－18－3　アームズワンビル2F,ndr@ndr.ne.jp,https://www.ndr.ne.jp/,経岩宗高,,開発,E：未接触,未契約,,,
株式会社Hal 北海道支社,,https://hal21.co.jp/,03-6712-5027,〒150-0012 東京都渋⾕区広尾1-1-39 恵⽐寿プライムスクエアタワー6階,,https://hal21.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,問い合わせフォーム,,
株式会社GSI 札幌本社,,https://glue-si.com/,011-726-7771,〒060-0807 札幌市北区北7条西1丁目 SE札幌ビル13F,,https://glue-si.com/contact/,経岩宗高,2023/06/15,開発（エージェント）,C：サスペクト,未契約,https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGsmDsbFsRFpPTjhxShqRXdxnPC,,
SOC株式会社,,https://www.socnet.jp/,011-807-1100,〒004-0015 札幌市厚別区下野幌テクノパーク1丁目1-12,,https://www.socnet.jp/contact/,経岩宗高,,開発,E：未接触,未契約,問い合わせフォーム,,
株式会社HBA,,https://www.hba.co.jp/,011-231-8301,〒060-0004 札幌市中央区北4条西7丁目1番地8,,https://www.hba.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,問い合わせフォーム,,
フォーザウィン株式会社,,https://www.forthewin.co.jp/,,〒107-0062 東京都港区南青山6-2-9 南青山NYKビル6F,business@forthewin.co.jp,https://www.forthewin.co.jp/business_partner/,経岩宗高,,開発（エージェント）,E：未接触,未契約,"ビジネスパートナー募集お問い合わせより
 札幌支社無し",,
株式会社パブリックリレーションズ,,https://www.public.co.jp/,011-520-1800,〒064-0807 北海道札幌市中央区南７条西１丁目１３番地 弘安ビル５階,,https://www.public.co.jp/contact01/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,問い合わせフォーム パートナー募集,,
TSR,,https://www.tsrweb.co.jp/,03-6864-3680,〒135-0061 東京都江東区豊洲5-4-9 KR豊洲ビル,,https://www.tsrweb.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGsmDtkQthXKFCnzDcKVhFdMcxJ,,
WingSolutions,,https://ssl.wing-sol.co.jp/business,,,,,経岩宗高,,,E：未接触,未契約,,,
日新コンピューターシステム,深澤 成昭,https://www.nisin.co.jp/partner/partner.html,03-5802-0321,〒112-0004 東京都文京区後楽1丁目5番3号 後楽国際ビルディング3階 （日中友好会館内）,,https://www.nisin.co.jp/contact/contact.html,経岩宗高,2023/04/19,開発,E：未接触,未契約,,協業募集,2024/05/07
アートシステム,有賀 政人,https://www.art-system.co.jp/,042-643-1313,〒192-0081 東京都八王子市横山町10-2 八王子SIAビル8F,,https://www.art-system.co.jp/inquiry/,経岩宗高,2023/04/19,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/07
キャピタルブレイン,,http://www.capitalbrain.co.jp/partner.html,06-6300-5830,〒532-0011 大阪市淀川区西中島六丁目８番８号 花原第８ビル ６０２号室,info@capitalbrain.co.jp,,経岩宗高,,開発,E：未接触,未契約,,,
ESS,西谷  保,https://www.essnet.co.jp/,03-3813-6817,〒112-0002 東京都文京区小石川1-1-17 日本生命春日駅前ビル2階,,https://www.essnet.co.jp/inquiry.php,経岩宗高,2023/04/19,開発,E：未接触,未契約,,協業募集,2024/05/07
リンクネット,関　秀明,https://link-nt.co.jp/,076-245-3001,〒921-8163 石川県金沢市横川7-35-1 ルミエール横川5Ｆ,,https://link-nt.co.jp/contact/,経岩宗高,2023/04/19,開発,E：未接触,未契約,,協業募集,2024/05/07
システムワン,薄井昌子,https://www.soc-net.co.jp/,03-5922-2007,〒175-0083 東京都板橋区徳丸3-36-1,,https://www.soc-net.co.jp/contact.php,経岩宗高,2023/04/19,開発,E：未接触,未契約,,協業募集,2024/05/07
CORE CONCEPT Technologies,金子 武史,https://www.cct-inc.co.jp/partner/thanks/,03-6457-4344,〒171-0022 東京都豊島区南池袋1-16-15　ダイヤゲート池袋11階,,https://www.cct-inc.co.jp/contact/,経岩宗高,2023/04/19,開発,E：未接触,未契約,,協業募集,2024/05/08
フレクスシステムズ,塚田 孝之,https://www.flexsystems-inc.com/partnership/,03-5829-6393,〒105-0004 東京都港区新橋4-5-1 アーバン新橋ビル11F,,https://www.flexsystems-inc.com/contact/,経岩宗高,2023/04/19,開発,E：未接触,未契約,,協業募集,2024/05/08
総合システム情報,矢野 泰弘,https://www.ssinet.co.jp/,03-5909-3371,〒160-0023 東京都新宿区西新宿 6丁目10番1号 日土地西新宿ビル 17階,,https://www.ssinet.co.jp/contact_before/,経岩宗高,2023/04/20,開発（エージェント）,E：未接触,未契約,,協業募集,2024/05/09
株式会社IC,齋藤　良二,https://www.ic-net.co.jp/business_partners.html,03-4335-8188,〒108-6207 東京都港区港南2丁目15番3号 品川インターシティC棟7F,ic.bp@ic-net.co.jp,https://ic-solution.jp/,経岩宗高,2023/04/17,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/04/24
株式会社スカイシステム,髙屋　英永,https://www.sky-system.net/?gclid=Cj0KCQjwxYOiBhC9ARIsANiEIfZLsi6rmVjTphEY-HOwQYgAmIZcU0EipBNQHztSqcmGBkOnYymexrMaAgfxEALw_wcB,03-5847-3551,〒103-0013 東京都中央区日本橋人形町3-1-17 日本橋人形町石井ビル2階,,https://www.sky-system.net/contact/form.html,経岩宗高,2023/04/20,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/09
Jops,大蔵 政明,https://www.jops.co.jp/company/b_partner/,076-493-8010,〒930-0057 富山県富山市上本町3-16 上本町ビル7Ｆ,,https://www.jops.co.jp/contact/,経岩宗高,2023/04/20,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/09
ネオシステム,宿沢 一六,https://www.neosystem.co.jp/,03-3545-6111,〒104-0044 東京都中央区明石町8番1号 聖路加タワー37階,,https://www.neosystem.co.jp/contact,経岩宗高,2023/05/09,Sier・コンサル,E：未接触,未契約,SESもあり,協業募集,2024/06/13
ユニテック,吉田 晃伸,https://www.utj.co.jp/,03-5733-7611,〒 105-0001 東京都港区虎ノ門 3-7-12　虎ノ門3丁目アネックス 5階,,https://www.utj.co.jp/development/dev-partner/,経岩宗高,2023/04/20,開発（プロダクト）,E：未接触,未契約,,協業募集,
パルシス,須田　　次彦,https://www.palsys.co.jp/,03-5949-4911,〒171-0033 東京都豊島区高田3-28-2 FORECAST高田馬場 3F,,https://entryform.palsys.co.jp/recepts/others,経岩宗高,2023/04/20,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/10
株式会社デジタルファーム,田中　亨,https://www.digital-farm.com/,011-704-2530,〒060-0004 札幌市中央区北4条西4丁目1-7 MMS 札幌駅前ビル 1F,,https://www.digital-farm.com/inquiry/,経岩宗高,2023/04/21,開発（プロダクト）,D：対応しない,未契約,協業募集,,
アールズ株式会社,島崎 宗一,https://rrr-z.jp/,011-252-1377,〒060-0063 北海道札幌市中央区南３条西１丁目９−２２ フロンティア札幌ビル９Ｆ,,https://rrr-z.jp/contacts/,経岩宗高,2024/04/21,開発（プロダクト）,D：対応しない,未契約,,協業募集,
株式会社12Grid,関圭介,https://12grid.co.jp/,011-206-1890,〒060-0031 札幌市中央区北1条東1丁目6-5 札幌イーストスクエア 3F,,https://12grid.co.jp/contact,経岩宗高,2023/04/21,開発,E：未接触,未契約,協業募集,協業募集,2024/05/10
ITC,磯貝 和広,https://www.itc-tokyo.com/,03-6914-0991,〒171-0022 東京都豊島区南池袋1-16-15　ダイヤゲート池袋10F,,,経岩宗高,2023/04/24,開発,E：未接触,未契約,,協業募集,
コムチュア,澤田　千尋,https://www.comture.com/,03-5745-9700,〒141-0032 東京都品川区大崎1－11－2 ゲートシティ大崎イーストタワー9F・15F,,https://www.comture.com/inquiry/bp/,経岩宗高,2023/04/24,開発（プロダクト）,C：サスペクト,NDA済,,協業募集,2024/05/10
日本システム,伊藤　健文,https://www.nskint.co.jp/partner/,052-551-1861,愛知県名古屋市中村区那古野1丁目47番1号 名古屋国際センタービル9F,,https://www.nskint.co.jp/contact/,経岩宗高,2023/04/24,開発（プロダクト）,E：未接触,未契約,,協業募集,
ソリューションジャパン,森下　篤,http://www.solution-japan.co.jp/partner/partner.html,03-5413-3621,〒107-0052 東京都港区赤坂7丁目1番16号 オーク赤坂ビル11階,partner@solution-japan.co.jp,http://www.solution-japan.co.jp/contact,経岩宗高,2023/04/24,開発,E：未接触,未契約,,協業募集,2024/05/13
デジタルブレイン,川島 孝三,http://digital-brain.co.jp/partner.html,011-200-8225,〒060-0042 北海道札幌市中央区大通西5丁目1番地1 桂和大通ビル38 3階,,https://digital-brain.co.jp/contact.html,経岩宗高,2023/04/24,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/13
みなまち,深沢 務,https://minamachi.jp/partner/,03-3526-2682,〒101-0021 東京都千代田区外神田2-9-3　ユニオンビル工新　7F,,https://minamachi.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,経岩宗高,2023/04/24,開発（エージェント）,E：未接触,未契約,,協業募集,
NOPES　有限会社ノップソリューション,,https://www.nops.co.jp/partner/,044-337-7156,〒210-0013 神奈川県川崎市川崎区新川通11-7-402,,https://www.nops.co.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,,,
BBS　株式会社ビジネスブレイン太田昭和,小宮　一浩,https://www.bbs.co.jp/,03-3507-1300,東京都港区西新橋1-1-1 日比谷フォートタワー 15F,,https://www.bbs.co.jp/inquiry/form.html?t=%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%EF%BC%88%E5%8D%94%E5%8A%9B%E4%BC%9A%E7%A4%BE%EF%BC%89,経岩宗高,2023/04/24,Sier・コンサル,E：未接触,未契約,,協業募集,2024/05/15
コムニック,大松　郁夫,https://comnic.co.jp/business/partner/,03-5645-3111,〒103-0011 東京都中央区日本橋大伝馬町6-9,bp_info@comnic.co.jp,https://comnic.co.jp/contact/,経岩宗高,2023/04/24,開発,E：未接触,未契約,,協業募集,2024/05/15
GENNECH　株式会社ゼネックコミュニケーション,美馬　芳彦,https://www.genech.co.jp/business-partner/,075-211-5533,〒604-0845 京都市中京区烏丸通御池上る二条殿町552番地　明治安田生命京都ビル,,https://www.genech.co.jp/contact/,経岩宗高,2023/05/31,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/15
world trans systems,間宮 丈雄,https://www.wts-c.co.jp/recruit/partner.html,03-5573-2001,〒105-0004 東京都港区新橋四丁目1番1号 新虎通りCORE 3階,partner@wts-c.co.jp,https://www.wts-c.co.jp/inquiry/index.html,経岩宗高,2023/05/31,開発,E：未接触,未契約,https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGsmNVmKCbjmtqZnrqbBhfLksNr,協業募集,2024/05/15
SOAREST,久保田 晃浩,https://www.soarest.co.jp/partner/,03-5341-4129,〒160-0022 東京都新宿区新宿2-1-7 井門新宿御苑ビル4階,,https://www.soarest.co.jp/contact/index.html,経岩宗高,2023/04/24,開発（エージェント）,E：未接触,未契約,,協業募集,2024/05/16
KID,中川　孝志,https://www.k-id.co.jp/business-partner/,03-6279-0779,〒160-0023 東京都新宿区西新宿6丁目14番1号 新宿グリーンタワービル23階,,https://www.k-id.co.jp/contact/,経岩宗高,2023/04/27,開発,E：未接触,未契約,,協業募集,2024/05/17
株式会社商藝舎（旧社名：株式会社エム・ビー・エム）,吉本拡,https://www.shogeisha.com/,0155-66-5757,〒080-0111 北海道河東郡音更町木野大通東2丁目1番地7 皆川ビル1F,info@maybmarch.com,https://www.shogeisha.com/blog/contact/,経岩宗高,2023/04/25,開発,E：未接触,未契約,,協業募集,2024/05/17
北都システム株式会社,髙橋直樹,https://www.hscnet.co.jp/,011-896-7571,〒004-0052 札幌市厚別区厚別中央2条3丁目5番11号,partner@hscnet.co.jp,https://www.hscnet.co.jp/contact/,経岩宗高,2023/04/25,開発（プロダクト）,E：未接触,未契約,メールにて,協業募集,2024/05/17
株式会社CS,白幡　一雄,https://www.cscs.co.jp/,011-271-0529,〒060-0004 札幌市中央区北4条西6丁目1番地 毎日札幌会館,,https://www.cscs.co.jp/contact/,経岩宗高,2023/04/25,開発,E：未接触,未契約,問い合わせフォーム,協業募集,2024/05/17
株式会社スキーム,,http://www.scheme.co.jp/,046-272-7676,〒242-0007 神奈川県大和市中央林間三丁目23番15号 コートハウスジュノ502号,info@scheme.co.jp,https://scheme.securesite.jp/faq_input.php,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"パートナー募集　メールにて
SESもあり",,
テクノブレイブ株式会社,,https://www.tbrave.com/,03-5577-3950,〒101-0047　東京都千代田区内神田1-2-8　楠本第2ビル2F,,https://www.tbrave.com/contact/,経岩宗高,2023/04/25,開発（プロダクト）,E：未接触,未契約,問い合わせフォーム,協業募集,2024/05/20
株式会社カイテクノロジー,勝屋 嘉恭,https://chitech.co.jp/development/development-partner/,03-6273-0408,〒160-0014 東京都新宿区内藤町87 大木戸庁舎6階,,https://chitech.co.jp/contact/,経岩宗高,2023/04/27,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/20
アントレンド,木村 隆行,https://www.entrend.net/index.php/partner/,03-5444-2500,〒108-0023 東京都港区芝浦2-14-13 MCK芝浦ビル6F,,https://www.entrend.net/index.php/contact/,経岩宗高,2023/04/27,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/20
PVC,,http://www.pvac.co.jp/alliance,,,,,経岩宗高,2023/04/27,,E：未接触,未契約,,,
Quantex,加藤 泰彦,https://www.quantex.co.jp/partner/,06-6355-4478,〒530-0001 大阪市北区梅田1-3-1 大阪駅前第1ビル11F,,https://www.quantex.co.jp/contact/,経岩宗高,2023/04/27,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/20
JCC,坂詰吉寛,https://jccinc.co.jp/,025-544-6400,〒942-0013 新潟県上越市黒井2598番地30,,https://jccinc.co.jp/partner/inquiry/,経岩宗高,2023/04/27,開発,E：未接触,未契約,,協業募集,2024/05/21
日本SE株式会社,大久保 茂雄,https://jse.co.jp/partnership.html,03-3343-6460,東京都新宿区西新宿2丁目7番1号 新宿第一生命ビルディング25階,info@jse.co.jp,https://jse.co.jp/contact.html,経岩宗高,2023/04/27,開発（プロダクト）,E：未接触,未契約,,協業募集,2024/05/21
,,,,,,,,,,,,,,
リレセス株式会社,,https://www.lireses.co.jp/business_partner/,03-6717-2700,〒105-6021 東京都港区虎ノ門4-3-1 城山トラストタワー21F,,,経岩宗高,,開発,E：未接触,未契約,,,
アイティーデザイン株式会社,山口 雅数,https://itdesign-jp.com/,044-221-6566,〒210-0005 神奈川県川崎市川崎区東田町1-2 いちご川崎ビル9F,,https://itdesign-jp.com/partner/form,経岩宗高,2023/04/27,開発,E：未接触,未契約,,協業募集,
株式会社CRドットアイ,小林 啓志,https://crdoti.co.jp/,03-6284-2120,〒110－0016 東京都台東区台東1-1-14　D’s VARIE秋葉原ビル5階,,https://crdoti.co.jp/contact/,経岩宗高,2023/05/01,開発（エージェント）,E：未接触,未契約,,協業募集,2024/05/24
クラフトアンドクラフト株式会社,,https://cra-cra.co.jp/contents/Partners.html,03-5706-5488,〒141-0021 東京都世田谷区玉川3丁目20番2号マノア玉川第3ビル 501号室,,https://cra-cra.co.jp/contents/toiawase.html,経岩宗高,,開発,E：未接触,未契約,,,
株式会社ビヨンド,原岡 昌寛,https://beyondjapan.com/,06-6536-8422,〒556-0011 大阪府大阪市浪速区難波中1-10-4 南海SK難波ビル3F,,https://beyondjapan.com/contact/,経岩宗高,2023/05/01,開発,E：未接触,未契約,,協業募集,2024/05/27
株式会社情報技術センター,渕脇 德也,https://itc-net.co.jp/,03-6453-7140,〒108-0014 東京都港区芝5-29-14 田町日工ビル 8F,,https://itc-net.co.jp/contact/,経岩宗高,2023/05/01,開発（プロダクト）,E：未接触,未契約,SESもあり,協業募集,
キャパ,,https://www.capa.co.jp/request1,03-5297-2871,東京都千代田区神田岩本町1-14 KDX秋葉原ビル 2F/8F,吉良平四郎,https://www.capa.co.jp/request1#,経岩宗高,,その他,E：未接触,未契約,,,
株式会社インフォース,濱松　毅,https://www.inforce.inc/index.html,03-5542-8787,〒104-0033 東京都中央区新川1-17-27 横川ビル5階,,https://www.inforce.inc/contact/contact.html,経岩宗高,2023/05/01,開発,E：未接触,未契約,,協業募集,2024/05/28
AsuEight,猪鼻祐太,https://asueight.jp/,03-6823-5508,〒171-0013 東京都豊島区東池袋1-34-5いちご東池袋ビル6F,,https://asueight.jp/contact,経岩宗高,2023/05/01,開発,E：未接触,未契約,,協業募集,2024/05/28
日本電算株式会社,松岡 善昭,https://www.nd-inc.co.jp/Templates/top.php,03-5719-2882,〒141-0021 東京都品川区上大崎2-25-2 新目黒東急ビル13階,eigyo@nd-inc.co.jp,https://www.nd-inc.co.jp/otoiawase.html,経岩宗高,2023/05/01,開発（プロダクト）,E：未接触,未契約,SESもあり,協業募集,2024/05/28
IT働く研究所,,https://www.dorakuken.co.jp/partner/,,,,,経岩宗高,,,D：対応しない,未契約,,,
株式会社SYSホールディングス,,https://www.syshd.co.jp/jp/partner.html,052-937-0209,〒461-0002 愛知県名古屋市東区代官町35番16号 第一富士ビル2F,,https://www.syshd.co.jp/jp/ir/contact.html,経岩宗高,,Sier・コンサル,E：未接触,未契約,,,
TIS,,https://www.tis.co.jp/contact/complete.php,03-5337-7070,〒160-0023 東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー,,https://www.tis.co.jp/contact/?_gl=1*1qsde67*_ga*MTY3NTQyNzUwMC4xNzExNDE4NjYz*_ga_H6W1JNL204*MTcxMTQxODcxNS4xLjEuMTcxMTQxOTE4OS4wLjAuMA..&_ga=2.172420579.1722105425.1711418663-1675427500.1711418663,経岩宗高,2023/05/01,Sier・コンサル,D：対応しない,未契約,,協業募集,
株式会社DSKペイメント,,https://www.ds-tech.co.jp/partner/index.html,03-3537-6980,〒104-0032 東京都中央区八丁堀2‐20‐8 八丁堀綜通ビル ５階,,https://www.ds-tech.co.jp/contact/index.cgi,経岩宗高,,開発,E：未接触,未契約,,,
ニューテック株式会社,戸高　秀和,https://nutec-net.co.jp/,045-451-2538,〒221-0031 神奈川県横浜市神奈川区新浦島町1-1-25 テクノウェイブ100(8F),,https://nutec-net.co.jp/contact/,経岩宗高,2023/05/08,開発（プロダクト）,E：未接触,未契約,,協業募集,
ヴァイタル・インフォメーション 株式会社,,https://www.vitals.co.jp/other/recruit_partner.php#loaded,03-3354-8260,〒160-0022 東京都新宿区新宿2-13-12 住友不動産新宿御苑ビル,,https://www.vitals.co.jp/inquiry/index.php?service#loaded,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
